"row";"column";"S_Ka";"S_Kb";"Cl_K";"Ar_K";"Ti_K";"Cr_K";"Fe_K";"Scatter_Peak000";"Scatter_Compton000";"s(S_Ka)";"s(S_Kb)";"s(Cl_K)";"s(Ar_K)";"s(Ti_K)";"s(Cr_K)";"s(Fe_K)";"s(Scatter_Peak000)";"s(Scatter_Compton000)";"chisq"
0;44;1792.87;153.16;6807.4;2021.17;68.1188;137.563;440.748;86823.1;144473;40.9432;29.7113;74.4152;42.1566;14.0051;16.9556;26.9069;301.049;358.506;7.21562
0;45;1774.25;128.986;6674.41;1951.9;48.978;113.053;462.764;87060.2;142818;41.1128;30.1041;73.9189;41.7256;13.6652;16.4095;26.2803;301.504;357.087;7.59212
0;46;1639.2;0.703356;6787.77;1954.57;24.7643;137.924;465.121;85440.3;142656;40.3256;29.3438;75.3044;42.0167;13.4864;17.2256;26.9491;299.124;356.463;7.42302
0;47;1611.43;124.883;6498.49;1830.21;23.5354;128.871;389.08;83884.1;142152;39.3945;29.677;72.9766;40.5332;12.6576;17.5409;26.8307;296.421;355.224;6.88983
0;48;1555.56;141.39;6843.09;1987.23;21.2977;147.44;309.094;82546.7;141578;38.8731;29.4587;74.5985;41.5112;12.5456;16.7708;25.2846;294.171;353.996;7.39959
0;49;1557.9;134.175;6460.26;1855.32;3.06706;89.8741;477.786;82124.6;140236;38.5979;29.166;72.7304;40.7512;12.62;16.1645;27.0347;293.786;352.752;7.26722
0;50;1425.36;4.242;6620.19;1862.27;45.2843;105.517;391.387;80818.5;140275;37.1279;28.2657;73.7609;40.5756;13.4131;16.0086;25.6971;291.814;352.403;7.27612
0;51;1425.52;196.271;6593.93;1859.02;19.8473;88.4539;449.187;79505.1;139299;37.0826;27.7469;73.2672;40.6739;12.2166;15.724;26.1143;289.613;350.945;7.33095
0;52;1315.24;180.294;6678.48;1811.03;11.1488;157.563;323.213;78550.6;138187;36.3659;28.8048;73.8369;40.2856;12.2307;17.1861;25.0924;287.743;349.242;7.52599
0;53;1414.84;194.722;6611.45;1826.64;48.9643;51.2346;385.788;78581.5;138366;36.838;27.3945;73.0917;40.1352;12.5771;14.7715;25.7294;287.288;349.035;7.1821
0;54;1415.07;171.468;6457.27;1758.63;50.6338;142.7;344.311;77227.1;136959;36.5174;26.7797;72.0919;39.2797;13.7415;17.0139;25.3092;285.213;347.276;7.12628
0;55;1225.81;4.70207;6550.77;1829.91;6.98705;89.8395;347.586;77302.9;137283;35.8758;28.518;73.5539;40.1459;12.0853;15.2132;26.0044;285.707;347.696;7.08958
0;56;1196.39;0.607453;6352.37;1883.13;28.5174;66.3335;387.554;76056.7;135692;34.9119;27.2487;72.2266;40.4592;12.716;14.5198;25.5106;283.202;345.837;7.05147
